Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
133848,Meedoo,Search,Women 35-44,15 days,Instagram,0.11,Dollar,4.59,Harbour Breton,New Zealand Sign Language,381,5908,7,Outdoor Adventurers,1/9/2021
135437,Quimba,Search,Men 25-34,45 days,Youtube,0.07,Rupiah,5.39,Koblain,Ndebele,594,7080,8,Health & Wellness,1/29/2021
162274,Jabbercube,Search,All Ages,15 days,Instagram,0.11,Koruna,5.77,Milotice,Burmese,628,5422,6,Tech Enthusiasts,1/22/2021
167697,Yombu,Influencer,Men 25-34,45 days,Email,0.11,Yuan Renminbi,3.35,Jiucaizhuang,Kannada,690,6484,10,Tech Enthusiasts,1/17/2021
142220,Kwilith,Display,Women 35-44,30 days,Facebook,0.13,Euro,4.36,La Valette-du-Var,Thai,943,5054,10,Tech Enthusiasts,1/1/2021
179422,Zava,Email,Men 25-34,45 days,Email,0.05,Yuan Renminbi,2.81,Huogezhuang,Tajik,464,7296,5,Outdoor Adventurers,1/10/2021
124161,Oyonder,Email,Men 18-24,45 days,Google Ads,0.03,Rupiah,3.94,Bagorejo,Oriya,395,4668,6,Fashionistas,1/18/2021
132473,Devpulse,Email,Women 35-44,60 days,Website,0.08,Krona,6.61,Hyltebruk,Japanese,848,1765,9,Foodies,1/7/2021
95763,Edgeclub,Email,Women 35-44,15 days,Google Ads,0.03,Zloty,4.63,Wilcza,Albanian,566,7337,5,Fashionistas,1/3/2021
176209,Twitterbeat,Display,Women 25-34,15 days,Google Ads,0.03,Yuan Renminbi,3.25,Qiaotou,Pashto,631,6793,6,Fashionistas,1/6/2021
75362,Yombu,Display,Men 18-24,30 days,Facebook,0.08,Ruble,3.78,Krutinka,Kashmiri,870,7328,3,Foodies,1/20/2021
182560,Divavu,Search,All Ages,60 days,Youtube,0.06,Euro,6.93,Freiburg im Breisgau,Lithuanian,554,5235,9,Tech Enthusiasts,1/16/2021
140168,Digitube,Influencer,Women 35-44,15 days,Website,0.06,Rupiah,6.85,Genteng,Kyrgyz,433,2352,4,Foodies,1/15/2021
102479,Tagopia,Email,Women 35-44,15 days,Instagram,0.03,Peso,6.05,Vista Hermosa,Tsonga,692,2055,9,Tech Enthusiasts,1/23/2021
160021,Skipstorm,Search,Women 25-34,30 days,Facebook,0.03,Yuan Renminbi,4.19,Fengchuan,Icelandic,364,1953,7,Outdoor Adventurers,1/14/2021
112446,InnoZ,Influencer,Men 25-34,60 days,Email,0.11,Ruble,6.45,Rybnaya Sloboda,Kashmiri,366,1720,9,Foodies,1/11/2021
162300,Dynabox,Search,Women 25-34,15 days,Youtube,0.07,Rupiah,6.23,Munduk,Tsonga,440,6728,8,Tech Enthusiasts,1/9/2021
105337,Ooba,Influencer,All Ages,60 days,Website,0.03,Yuan Renminbi,7.04,Kax,Kazakh,783,6016,7,Outdoor Adventurers,1/21/2021
104089,Zoonder,Display,Women 35-44,15 days,Youtube,0.12,Yuan Renminbi,6.35,Haolin,Hebrew,692,3444,9,Foodies,1/8/2021
129830,Camido,Display,Men 18-24,45 days,Website,0.08,Lev,3.15,Radomir,Kashmiri,605,6774,9,Tech Enthusiasts,1/10/2021
176976,Fadeo,Display,All Ages,45 days,Email,0.03,Peso,5.55,Giraldo,Kazakh,755,5904,9,Fashionistas,1/18/2021
92285,Skiba,Influencer,Men 18-24,60 days,Facebook,0.07,Rupiah,3.16,Suwalan,Lao,830,8314,9,Tech Enthusiasts,1/9/2021
118272,Realbuzz,Influencer,All Ages,60 days,Youtube,0.11,Sol,3.51,Urasqui,Zulu,830,3478,10,Outdoor Adventurers,1/20/2021
81390,Linkbuzz,Display,Men 18-24,30 days,Youtube,0.06,Peso,3.15,Langob,Tetum,751,6183,5,Fashionistas,1/23/2021
140750,Thoughtbeat,Display,Men 25-34,45 days,Website,0.07,Koruna,4.92,Holýšov,Romanian,874,2754,7,Health & Wellness,1/20/2021
150760,Abatz,Email,Women 35-44,30 days,Website,0.1,Yuan Renminbi,5.3,Yongping,Northern Sotho,960,7143,5,Outdoor Adventurers,1/1/2021
144659,Bubbletube,Display,All Ages,15 days,Google Ads,0.11,Rupiah,3.34,Benger,Kyrgyz,549,4669,3,Outdoor Adventurers,1/28/2021
90484,Kwimbee,Email,Men 18-24,45 days,Youtube,0.04,Yuan Renminbi,6.08,Yanjiatai,Northern Sotho,942,3427,5,Outdoor Adventurers,1/12/2021
158574,Trilith,Influencer,All Ages,30 days,Website,0.1,Franc,3.93,Lokossa,Swedish,782,6504,4,Fashionistas,1/25/2021
86984,Kanoodle,Influencer,Men 25-34,60 days,Website,0.11,Zloty,5.43,Opatowiec,French,501,8005,3,Health & Wellness,1/28/2021
133203,Youspan,Display,Women 35-44,60 days,Facebook,0.13,Koruna,5.74,Jaroměřice nad Rokytnou,Tamil,965,5535,3,Outdoor Adventurers,1/4/2021
72379,Abatz,Display,All Ages,60 days,Youtube,0.09,Euro,6.91,Crossmolina,Haitian Creole,488,2992,7,Foodies,1/20/2021
167553,LiveZ,Email,All Ages,15 days,Google Ads,0.04,Afghani,5.85,Khōst,Kashmiri,746,3833,8,Outdoor Adventurers,1/16/2021
